  16  40 S  2   -22.867     0.141   -23.880     2.750   0.254          -0.001  -0.001
  16  41 S  2   -19.019     0.118   -19.200     2.580   0.266          -0.032  -0.004
  16  42 S  2   -17.678     0.124   -17.790     1.900   0.249          -0.076  -0.006
  16  43 S  2   -11.965     0.202   -12.150     1.710   0.191          -0.051  -0.003
  16  44 S  2    -9.116     0.395    -9.380     1.370   0.000          -0.008   0.000
  16  45 S  2    -3.253     1.742    -2.640     1.380   0.171          -0.030  -0.002
  16  46 S  1     0.699     0.699     1.720     1.720   0.219          -0.048  -0.004
  16  47 S  1     8.002     0.801     9.220     1.700   0.239          -0.061  -0.007
  16  48 S  1    13.199     0.904    14.050     1.670   0.241          -0.086  -0.007
  16  49 S  1    22.001     0.952    22.250     1.640   0.253          -0.115  -0.011
  16  50 S  0                        27.650     1.440   0.255          -0.139  -0.013
  16  51 S  0                        37.670     2.570  -0.389          -0.062   0.007
  16  52 S  0                        44.480     3.110  -0.406          -0.035   0.005
  16  53 S  0                        53.870     3.010   0.394          -0.054  -0.009
  16  54 S  0                        60.740     3.010   0.434          -0.051  -0.011
  16  55 S  0                        70.610     2.850   0.459          -0.086  -0.021
  16  56 S  0                        77.620     2.410   0.461          -0.102  -0.025
  16  57 S  0                        87.570     1.850   0.407          -0.084  -0.014
  16  58 S  0                        95.550     1.870   0.584          -0.060  -0.029
  16  59 S  0                       108.220     3.570   0.711          -0.001  -0.031
  16  60 S  0                       117.200     4.110   0.701           0.058  -0.010
  17  25 Cl 0                        70.020    -0.350   0.000           0.000   0.000
  17  26 Cl 0                        54.310     0.130  -0.199          -0.191   0.005
  17  27 Cl 0                        39.290     2.370   0.000           0.000   0.000
  17  28 Cl 1    26.557     0.503    28.260     3.730   0.000  -0.025   0.000   0.000
  17  29 Cl 1    13.143     0.196    14.830     3.890   0.000  -0.028   0.000   0.000
  17  30 Cl 1     4.443     0.196     4.910     3.210  -0.224          -0.073   0.002
  17  31 Cl 2    -7.067     0.050    -5.380     3.440   0.000           0.000   0.000
  17  32 Cl 2   -13.330     0.007   -11.470     3.920   0.000           0.000   0.000
  17  33 Cl 2   -21.003     0.000   -19.010     4.320   0.000           0.000   0.000
  17  34 Cl 2   -24.440     0.000   -23.120     3.600  -0.221          -0.124   0.003
  17  35 Cl 2   -29.014     0.000   -28.110     3.500  -0.252          -0.155   0.005
  17  36 Cl 2   -29.522     0.000   -28.400     3.900   0.000           0.000   0.000
  17  37 Cl 2   -31.762     0.000   -31.190     3.380   0.000           0.000   0.000
  17  38 Cl 2   -29.798     0.000   -30.270     3.460  -0.018           0.000   0.000
  17  39 Cl 2   -29.800     0.002   -31.120     3.370   0.000           0.000   0.000
  17  40 Cl 2   -27.558     0.032   -28.680     3.610   0.153           0.008   0.001
  17  41 Cl 2   -27.307     0.069   -28.570     3.150   0.171          -0.005   0.000
  17  42 Cl 2   -24.913     0.144   -25.270     3.070   0.218          -0.016  -0.001
  17  43 Cl 2   -24.168     0.157   -24.050     2.530   0.211          -0.057  -0.004
  17  44 Cl 2   -20.231     0.108   -19.910     2.220   0.154          -0.031  -0.001
  17  45 Cl 2   -18.363     0.124   -18.310     1.010  -0.164          -0.013   0.000
  17  46 Cl 2   -14.708     0.717   -12.630     1.290  -0.190          -0.032   0.000
  17  47 Cl 1   -10.517     0.596    -8.640     1.530  -0.207          -0.052  -0.001
  17  48 Cl 1    -4.704     0.699    -2.060     1.860  -0.224          -0.064   0.001
  17  49 Cl 1     0.298     0.801     2.620     1.950  -0.249          -0.067   0.002
  17  50 Cl 1     7.303     0.904     9.890     2.190  -0.282          -0.074   0.002
  17  51 Cl 1    13.497     0.997    15.290     2.220  -0.307          -0.084   0.005
  17  52 Cl 0                        23.560     2.780  -0.357          -0.063   0.005
  17  53 Cl 0                        30.240     3.390  -0.389          -0.054   0.006
  17  54 Cl 0                        38.730     3.530  -0.406          -0.070   0.010
  17  55 Cl 0                        45.900     4.010   0.452          -0.020  -0.008
  17  56 Cl 0                        54.660     3.840   0.454          -0.037  -0.011
  17  57 Cl 0                        61.710     3.600   0.456          -0.062  -0.016
  17  58 Cl 0                        69.420     1.850  -0.262          -0.129   0.005
  17  59 Cl 0                        76.330     0.950  -0.302          -0.157   0.008
  17  60 Cl 0                        85.750     0.420  -0.301          -0.170   0.010
  17  61 Cl 0                        92.410    -1.230  -0.294          -0.174  -0.040
  17  62 Cl 0                       102.600    -1.440  -0.294          -0.174  -0.038
  17  63 Cl 0                       111.670    -1.130  -0.297          -0.148  -0.039
  18  27 Ar 0                        64.710    -0.800  -0.229  -0.021  -0.223   0.009
  18  28 Ar 0                        45.810    -0.470  -0.243          -0.244   0.012
  18  29 Ar 0                        35.410     2.030  -0.251          -0.168   0.006
  18  30 Ar 1    20.083     0.298    19.950     2.070  -0.251  -0.014  -0.168   0.006
  18  31 Ar 1    11.293     0.206    10.790     2.650  -0.255          -0.117   0.004
  18  32 Ar 2    -2.200     0.002    -2.120     2.100  -0.272          -0.114   0.004
  18  33 Ar 2    -9.384     0.000    -7.760     3.510   0.000           0.000   0.000
  18  34 Ar 2   -18.377     0.000   -17.030     3.950   0.000           0.000   0.000
  18  35 Ar 2   -23.047     0.001   -22.480     3.240  -0.252          -0.155   0.005
  18  36 Ar 2   -30.232     0.000   -29.560     3.580   0.000           0.000   0.000
  18  37 Ar 2   -30.948     0.000   -30.960     3.310   0.000           0.000   0.000
  18  38 Ar 2   -34.715     0.000   -35.380     2.770   0.000           0.000   0.000
  18  39 Ar 2   -33.242     0.005   -34.770     2.950  -0.018           0.000   0.000
  18  40 Ar 2   -35.040     0.000   -36.530     3.490   0.000           0.000   0.000
  18  41 Ar 2   -33.067     0.000   -34.390     3.810   0.000           0.000   0.000
  18  42 Ar 2   -34.423     0.006   -35.620     3.480   0.000           0.000   0.000
  18  43 Ar 2   -32.010     0.005   -32.880     3.180   0.000           0.000   0.000
  18  44 Ar 2   -32.673     0.002   -33.300     2.420   0.000           0.000   0.000
  18  45 Ar 2   -29.771     0.001   -30.030     1.570  -0.181          -0.048   0.000
  18  46 Ar 2   -29.720     0.041   -28.990     1.150   0.000  -0.015   0.000   0.000
  18  47 Ar 2   -25.908     0.100   -24.030     1.010  -0.190          -0.047  -0.001
